img_id,result,time
0,verified,1.3054478168487549
2,verified,378.5916118621826
9,unknown,314.7961437702179
17,falsified,41.87991213798523
22,unknown,409.7724645137787
27,unknown,548.3576440811157
33,unknown,492.1066858768463
39,falsified,58.19426155090332
44,unknown,319.5744273662567
53,verified,1.2105519771575928
61,unknown,316.32788848876953
68,verified,1.2596149444580078
78,unknown,600.0003955364227
88,unknown,327.3673024177551
91,falsified,47.63870453834534
113,falsified,43.46273064613342
118,verified,543.3156487941742
127,unknown,600.477952003479
132,falsified,34.99403715133667
138,unknown,311.24656677246094
140,unknown,600.0034594535828
141,falsified,37.784754276275635
155,unknown,332.3593063354492
158,unknown,314.2661991119385
164,verified,239.25717949867249
172,unknown,317.38816118240356
185,verified,508.225777387619
188,falsified,56.130695819854736
190,falsified,53.88327884674072
197,unknown,526.6620223522186
Num. of unknown:,15
Num. of verified:,7
Num. of falsified:,8
Total time:,8377.840826511383
Avg. time:,279.26136088371277
Avg. time of verified/falsified (excludes unknown):,136.47561381657917
Avg. time of unknown:,422.04710795084634
Avg. time of verified:,239.02369032587325
Avg. time of falsified:,46.746046870946884
