img_id,result,time
4,verified,317.71722865104675
7,verified,146.79328322410583
45,falsified,88.20067620277405
28,verified,284.16337180137634
50,verified,474.0183379650116
59,falsified,92.77996230125427
60,falsified,82.83415007591248
64,verified,250.10515069961548
70,falsified,86.03786540031433
72,verified,8.00211763381958
74,verified,321.79707050323486
88,verified,8.801974058151245
95,verified,287.3511233329773
103,verified,7.7347962856292725
105,verified,177.50886726379395
109,falsified,76.93732643127441
110,verified,7.756713390350342
115,verified,7.300390005111694
135,verified,8.976743698120117
137,verified,110.59547209739685
142,verified,115.0435118675232
176,verified,8.985646724700928
180,verified,8.249624490737915
181,verified,118.64294743537903
193,verified,334.84958362579346
220,falsified,97.89905905723572
270,falsified,80.01886940002441
299,verified,182.70609784126282
340,falsified,70.14204907417297
388,verified,208.56007742881775
Num. of unknown:,0
Num. of verified:,22
Num. of falsified:,8
Total time:,4070.510087966919
Avg. time:,135.6836695988973
Avg. time of verified/falsified (excludes unknown):,135.6836695988973
Avg. time of unknown:,0
Avg. time of verified:,154.34818772836164
Avg. time of falsified:,84.35624474287033
