img_id,result,time
0,Verified,2.840716600418091
1,Verified,58.88335680961609
2,Verified,2.812422752380371
3,Verified,58.92256283760071
4,Verified,3.1852099895477295
5,Unknown,22.12176012992859
6,Verified,227.00721979141235
7,Unknown,21.241029500961304
8,Verified,139.34236598014832
9,Verified,2.6919565200805664
10,Verified,182.40245485305786
11,Verified,270.2249369621277
12,Verified,19.168522596359253
13,Verified,3.2473039627075195
14,Verified,136.57396912574768
15,Verified,315.7158205509186
17,Unknown,22.156574487686157
18,Verified,83.29948997497559
19,Unknown,23.895482301712036
20,Verified,84.00832009315491
21,Verified,83.15654182434082
22,Verified,20.248607635498047
23,Unknown,26.917006731033325
24,Verified,2.604400873184204
25,Verified,103.32730674743652
26,Verified,3.1368212699890137
27,Verified,20.617995977401733
28,Verified,3.259033679962158
29,Verified,2.950206995010376
30,Verified,63.897509813308716
Num. of unknown:,5
Num. of verified:,25
Num. of falsified:,0
Total time:,2009.8569073677063
Avg. time:,66.99523024559021
Avg. time of verified/falsified (excludes unknown):,75.7410021686554
Avg. time of unknown:,23.266370630264284
Avg. time of verified:,75.7410021686554
Avg. time of falsified:,0
