img_id,result,time
0,Verified,61.145846366882324
12,Verified,74.77136945724487
13,Verified,75.9669599533081
17,Verified,58.426955223083496
20,Verified,35.320531129837036
32,Verified,70.64121627807617
33,Verified,69.44259548187256
45,Verified,73.39256358146667
47,Verified,76.04656291007996
49,Verified,61.17042565345764
55,Verified,75.05141472816467
65,Verified,72.56810450553894
71,Verified,67.79855918884277
80,Verified,77.71523904800415
88,Verified,62.280742168426514
91,Verified,47.47793507575989
97,Verified,43.312026500701904
101,Verified,76.8295533657074
102,Verified,71.1195616722107
103,Verified,74.70915532112122
104,Verified,49.8145318031311
115,Verified,42.71686840057373
119,Verified,65.05566692352295
130,Verified,63.44060397148132
132,Verified,64.71173167228699
145,Verified,77.93236923217773
155,Verified,58.65812397003174
163,Verified,54.16893267631531
165,Verified,48.907450914382935
174,Verified,64.8592324256897
Num. of unknown:,0
Num. of verified:,30
Num. of falsified:,0
Total time:,1915.4528295993805
Avg. time:,63.84842765331268
Avg. time of verified/falsified (excludes unknown):,63.84842765331268
Avg. time of unknown:,0
Avg. time of verified:,63.84842765331268
Avg. time of falsified:,0
